applicant_id,govt_employed,income_annum,cibil_score,education,loan_status
2323,yes,200000,704, Not Graduate,Approved
3593,yes,1900000,631, Not Graduate,Approved
1970,yes,5300000,329, Graduate,Rejected
1542,yes,900000,560, Graduate,Approved
1762,yes,9800000,304, Not Graduate,Approved
233,yes,2700000,796, Not Graduate,Approved
2370,yes,9500000,526, Not Graduate,Rejected
514,yes,3400000,728, Graduate,Approved
4118,yes,3500000,477, Graduate,Rejected
960,yes,9600000,795, Graduate,Approved
2226,yes,7000000,889, Not Graduate,Approved
1683,yes,4000000,509, Not Graduate,Rejected
3963,yes,500000,618, Graduate,Approved
158,yes,9900000,364, Not Graduate,Rejected
467,yes,500000,411, Not Graduate,Rejected
560,yes,200000,885, Graduate,Rejected
2393,yes,2300000,612, Graduate,Approved
1239,yes,1900000,651, Graduate,Approved
581,yes,8900000,369, Graduate,Rejected
3438,yes,200000,526, Not Graduate,Rejected
2186,yes,9200000,827, Graduate,Approved
820,yes,2300000,642, Graduate,Approved
3326,yes,800000,353, Not Graduate,Rejected
1188,yes,8600000,459, Graduate,Rejected
2371,yes,300000,641, Graduate,Approved
2082,yes,8600000,678, Not Graduate,Approved
3620,yes,900000,660, Graduate,Approved
1805,yes,4600000,433, Not Graduate,Rejected
713,yes,6100000,678, Graduate,Approved
1671,yes,1600000,382, Not Graduate,Rejected
496,yes,2400000,739, Not Graduate,Approved
3767,yes,5600000,756, Not Graduate,Approved
2564,yes,7100000,783, Graduate,Approved
284,yes,6800000,516, Graduate,Rejected
3878,yes,3100000,398, Graduate,Approved
482,yes,5300000,900, Graduate,Approved
1167,yes,7800000,454, Not Graduate,Rejected
3459,yes,7500000,342, Not Graduate,Approved
3400,yes,5100000,527, Not Graduate,Rejected
1713,yes,3000000,712, Not Graduate,Approved
559,yes,5700000,415, Graduate,Rejected
596,yes,2700000,861, Graduate,Approved
3267,yes,2400000,871, Not Graduate,Approved
1692,yes,8900000,711, Not Graduate,Approved
1876,yes,2300000,578, Not Graduate,Approved
1940,yes,8500000,786, Not Graduate,Approved
2211,yes,2800000,521, Not Graduate,Rejected
668,yes,3100000,785, Graduate,Approved
597,yes,6200000,664, Not Graduate,Approved
1354,yes,2700000,630, Not Graduate,Approved
2604,yes,5100000,776, Not Graduate,Approved
1370,yes,3500000,535, Graduate,Rejected
2936,yes,2300000,504, Not Graduate,Approved
3845,yes,9000000,842, Not Graduate,Approved
817,yes,7200000,644, Graduate,Approved
1022,yes,7600000,358, Not Graduate,Rejected
547,yes,6600000,887, Not Graduate,Approved
4122,yes,3300000,418, Not Graduate,Rejected
219,yes,6800000,744, Not Graduate,Approved
4044,yes,5100000,510, Not Graduate,Rejected
2148,yes,4500000,719, Not Graduate,Approved
3821,yes,6000000,723, Graduate,Approved
2964,yes,9000000,540, Not Graduate,Rejected
1851,yes,7800000,766, Graduate,Approved
2852,yes,9500000,581, Graduate,Approved
714,yes,4400000,894, Graduate,Approved
2744,yes,2900000,827, Not Graduate,Approved
347,yes,8000000,449, Graduate,Rejected
3599,yes,1500000,420, Graduate,Rejected
4265,yes,1000000,317, Graduate,Rejected
3216,yes,4000000,552, Graduate,Approved
3294,yes,9400000,617, Not Graduate,Approved
2538,yes,2900000,678, Not Graduate,Approved
3263,yes,8200000,316, Not Graduate,Rejected
1196,yes,7000000,768, Not Graduate,Approved
2774,yes,2700000,554, Graduate,Approved
1069,yes,200000,768, Not Graduate,Approved
2671,yes,600000,877, Graduate,Approved
993,yes,8500000,803, Graduate,Approved
235,yes,3300000,632, Not Graduate,Approved
589,yes,1100000,647, Not Graduate,Approved
212,yes,1700000,420, Not Graduate,Rejected
2061,yes,4400000,583, Graduate,Approved
1887,yes,5500000,344, Not Graduate,Rejected
1691,yes,1100000,301, Graduate,Rejected
535,yes,4400000,516, Graduate,Rejected
2266,yes,3700000,501, Not Graduate,Rejected
429,yes,400000,771, Not Graduate,Approved
584,yes,3600000,557, Not Graduate,Approved
3588,yes,600000,879, Not Graduate,Approved
2080,yes,8800000,473, Not Graduate,Rejected
1625,yes,9500000,500, Graduate,Rejected
469,yes,6200000,396, Graduate,Rejected
3096,yes,4100000,727, Graduate,Approved
1846,yes,5000000,410, Graduate,Rejected
911,yes,4900000,754, Graduate,Approved
884,yes,9000000,895, Graduate,Approved
151,yes,5200000,481, Not Graduate,Rejected
4018,yes,2200000,861, Graduate,Approved
1967,yes,2900000,318, Graduate,Rejected
681,yes,3200000,780, Not Graduate,Approved
2880,yes,7000000,467, Graduate,Rejected
3265,yes,800000,363, Not Graduate,Rejected
