applicant_id,govt_employed,income_annum,cibil_score,education,loan_status
1,no,9600000,778, Graduate,Approved
2,yes,4100000,417, Not Graduate,Rejected
3,no,9100000,506, Graduate,Rejected
4,no,8200000,467, Graduate,Rejected
5,yes,9800000,382, Not Graduate,Rejected
6,yes,4800000,319, Graduate,Rejected
7,no,8700000,678, Graduate,Approved
8,yes,5700000,382, Graduate,Rejected
9,yes,800000,782, Graduate,Approved
10,no,1100000,388, Not Graduate,Rejected
11,yes,2900000,547, Graduate,Approved
12,yes,6700000,538, Not Graduate,Rejected
13,yes,5000000,311, Not Graduate,Rejected
14,yes,9100000,679, Graduate,Approved
15,no,1900000,469, Not Graduate,Rejected
16,no,4700000,794, Not Graduate,Approved
17,yes,500000,663, Graduate,Approved
18,yes,2900000,780, Not Graduate,Approved
19,no,2700000,736, Graduate,Approved
20,no,6300000,652, Graduate,Approved
21,no,5000000,315, Graduate,Rejected
22,no,5800000,530, Graduate,Rejected
23,yes,6500000,311, Graduate,Rejected
24,yes,500000,551, Not Graduate,Approved
25,no,4900000,324, Not Graduate,Rejected
26,no,3100000,514, Not Graduate,Rejected
27,no,8200000,696, Graduate,Approved
28,yes,2400000,662, Not Graduate,Approved
29,yes,7000000,336, Not Graduate,Rejected
30,yes,9000000,850, Not Graduate,Approved
31,no,9800000,313, Not Graduate,Rejected
32,no,5700000,363, Graduate,Rejected
33,yes,800000,436, Not Graduate,Rejected
34,yes,8400000,830, Not Graduate,Approved
35,no,4900000,612, Graduate,Approved
36,yes,1700000,691, Graduate,Approved
37,no,1600000,636, Not Graduate,Approved
38,yes,8000000,348, Graduate,Rejected
39,no,3600000,830, Graduate,Approved
40,yes,1500000,352, Not Graduate,Rejected
41,no,7800000,712, Graduate,Approved
42,no,9100000,822, Not Graduate,Approved
43,no,1400000,540, Graduate,Rejected
44,yes,800000,342, Graduate,Rejected
45,no,6500000,787, Graduate,Approved
46,no,8000000,331, Graduate,Rejected
47,yes,4200000,679, Not Graduate,Approved
48,yes,4900000,677, Graduate,Approved
49,no,5500000,634, Not Graduate,Approved
50,yes,9500000,662, Not Graduate,Approved
51,no,7300000,502, Graduate,Rejected
52,no,8700000,435, Graduate,Rejected
53,no,3800000,689, Not Graduate,Approved
54,yes,8400000,657, Not Graduate,Approved
55,yes,5100000,590, Graduate,Approved
56,no,6700000,818, Not Graduate,Approved
57,no,4300000,431, Not Graduate,Rejected
58,yes,9300000,841, Graduate,Approved
59,no,7400000,421, Graduate,Rejected
60,yes,5500000,797, Not Graduate,Approved
61,no,8500000,478, Not Graduate,Rejected
62,yes,9600000,669, Not Graduate,Approved
63,yes,8800000,365, Not Graduate,Rejected
64,yes,3300000,586, Not Graduate,Approved
65,yes,3900000,784, Graduate,Approved
66,no,4100000,364, Graduate,Rejected
67,no,8300000,715, Not Graduate,Approved
68,yes,2700000,693, Not Graduate,Rejected
69,no,5600000,777, Graduate,Approved
70,no,1900000,312, Graduate,Rejected
71,yes,500000,340, Not Graduate,Rejected
72,yes,5300000,386, Graduate,Approved
73,no,7000000,418, Not Graduate,Rejected
74,yes,5800000,735, Not Graduate,Approved
75,no,2600000,494, Not Graduate,Rejected
76,no,1900000,671, Not Graduate,Approved
77,no,5700000,697, Graduate,Approved
78,no,9000000,801, Graduate,Approved
79,no,8500000,576, Not Graduate,Approved
80,no,700000,639, Not Graduate,Approved
81,no,3500000,470, Graduate,Rejected
82,no,8800000,826, Not Graduate,Approved
83,yes,9900000,363, Not Graduate,Rejected
84,no,3600000,613, Graduate,Approved
85,yes,3000000,713, Not Graduate,Approved
86,no,6800000,439, Graduate,Rejected
87,yes,1100000,387, Not Graduate,Rejected
88,yes,8700000,402, Not Graduate,Rejected
89,yes,2000000,837, Graduate,Approved
90,no,9800000,641, Not Graduate,Approved
91,no,5700000,489, Graduate,Rejected
92,no,8800000,540, Graduate,Rejected
93,no,3800000,844, Graduate,Approved
94,no,1700000,452, Graduate,Rejected
95,no,1000000,366, Graduate,Rejected
96,no,300000,300, Graduate,Approved
97,yes,6600000,470, Graduate,Rejected
98,no,8700000,861, Not Graduate,Approved
99,no,9400000,562, Graduate,Approved
100,no,4400000,463, Graduate,Rejected
101,no,400000,478, Not Graduate,Rejected
102,yes,300000,702, Not Graduate,Approved
103,yes,4300000,618, Not Graduate,Approved
104,no,1600000,633, Graduate,Approved
105,yes,6200000,331, Not Graduate,Rejected
106,yes,4200000,841, Not Graduate,Approved
107,yes,9000000,764, Not Graduate,Approved
108,no,2700000,591, Graduate,Approved
109,yes,9700000,719, Graduate,Approved
110,no,3300000,317, Graduate,Rejected
111,no,300000,778, Not Graduate,Approved
112,yes,7400000,302, Graduate,Rejected
113,no,7100000,502, Not Graduate,Rejected
114,yes,7300000,879, Not Graduate,Approved
115,no,8400000,437, Not Graduate,Rejected
116,yes,3300000,797, Not Graduate,Approved
117,yes,5800000,456, Not Graduate,Rejected
118,no,600000,647, Not Graduate,Approved
119,no,7200000,379, Not Graduate,Rejected
120,yes,9100000,717, Not Graduate,Approved
121,no,900000,545, Graduate,Rejected
122,no,800000,317, Graduate,Rejected
123,no,8500000,570, Not Graduate,Approved
124,yes,9000000,865, Not Graduate,Approved
125,no,7000000,719, Graduate,Approved
126,no,200000,821, Graduate,Approved
127,yes,400000,859, Not Graduate,Approved
128,no,5100000,395, Not Graduate,Rejected
129,yes,700000,429, Not Graduate,Rejected
130,no,400000,861, Graduate,Approved
131,yes,9500000,565, Not Graduate,Approved
132,no,8800000,357, Graduate,Rejected
133,yes,1800000,465, Not Graduate,Rejected
134,yes,6800000,479, Not Graduate,Rejected
135,no,1500000,717, Not Graduate,Approved
136,no,1600000,425, Graduate,Rejected
137,no,4600000,786, Not Graduate,Approved
138,yes,2200000,382, Not Graduate,Rejected
139,yes,2900000,564, Not Graduate,Approved
140,no,200000,501, Graduate,Rejected
141,yes,2500000,727, Not Graduate,Approved
142,no,3600000,894, Not Graduate,Approved
143,yes,5500000,829, Graduate,Approved
144,no,6600000,506, Not Graduate,Rejected
145,yes,8600000,802, Graduate,Approved
146,no,600000,543, Not Graduate,Rejected
147,yes,1400000,772, Graduate,Approved
148,no,4000000,572, Graduate,Approved
149,yes,4900000,709, Not Graduate,Approved
150,no,2000000,402, Graduate,Rejected
151,yes,5200000,481, Not Graduate,Rejected
152,yes,8900000,772, Graduate,Approved
153,yes,6500000,306, Graduate,Approved
154,no,1300000,415, Not Graduate,Rejected
155,no,9400000,548, Not Graduate,Rejected
156,no,5000000,701, Not Graduate,Approved
157,no,3000000,890, Graduate,Approved
158,yes,9900000,364, Not Graduate,Rejected
159,yes,700000,704, Graduate,Approved
160,yes,4000000,318, Graduate,Rejected
161,no,3100000,761, Not Graduate,Approved
162,no,4500000,693, Not Graduate,Approved
163,no,9700000,524, Not Graduate,Rejected
164,yes,2000000,681, Not Graduate,Approved
165,yes,8100000,737, Graduate,Approved
166,no,5700000,638, Not Graduate,Approved
167,no,5800000,656, Not Graduate,Approved
168,no,1800000,540, Graduate,Rejected
169,yes,9100000,341, Not Graduate,Rejected
170,yes,4800000,371, Not Graduate,Approved
171,yes,3800000,886, Not Graduate,Approved
172,no,1900000,801, Not Graduate,Approved
173,yes,3600000,748, Not Graduate,Approved
174,yes,7400000,376, Not Graduate,Rejected
175,yes,6600000,371, Not Graduate,Rejected
176,no,1800000,826, Graduate,Approved
177,no,9200000,873, Not Graduate,Approved
178,yes,2400000,309, Not Graduate,Rejected
179,no,5600000,869, Not Graduate,Approved
180,no,3800000,534, Graduate,Rejected
181,yes,4500000,787, Not Graduate,Approved
182,yes,900000,566, Graduate,Approved
183,no,2800000,742, Not Graduate,Approved
184,no,7500000,824, Not Graduate,Approved
185,no,1400000,575, Graduate,Approved
186,yes,3800000,766, Graduate,Approved
187,yes,1700000,888, Not Graduate,Approved
188,yes,9000000,638, Graduate,Approved
189,yes,7300000,622, Not Graduate,Approved
190,no,7400000,458, Not Graduate,Rejected
191,no,9000000,327, Not Graduate,Rejected
192,no,3000000,612, Not Graduate,Approved
193,no,800000,682, Graduate,Approved
194,no,4800000,583, Graduate,Approved
195,no,6400000,697, Not Graduate,Approved
196,no,9200000,306, Graduate,Rejected
197,yes,400000,669, Not Graduate,Approved
198,no,2800000,816, Not Graduate,Approved
199,yes,8500000,455, Not Graduate,Rejected
200,yes,4700000,318, Graduate,Rejected
201,yes,9800000,355, Not Graduate,Rejected
202,yes,3800000,389, Not Graduate,Rejected
203,no,500000,888, Graduate,Approved
204,yes,6900000,352, Graduate,Rejected
205,yes,9600000,870, Not Graduate,Approved
206,no,2900000,827, Not Graduate,Approved
207,no,9800000,768, Graduate,Approved
208,no,7100000,707, Graduate,Approved
209,yes,7700000,355, Not Graduate,Rejected
210,no,1400000,652, Graduate,Approved
211,no,7800000,665, Graduate,Approved
212,yes,1700000,420, Not Graduate,Rejected
213,no,8500000,471, Not Graduate,Rejected
214,no,1900000,715, Not Graduate,Approved
215,yes,6700000,689, Not Graduate,Approved
216,yes,6900000,787, Graduate,Approved
217,no,2600000,819, Graduate,Approved
218,yes,9600000,809, Graduate,Approved
219,yes,6800000,744, Not Graduate,Approved
220,no,3200000,484, Not Graduate,Rejected
221,no,2900000,673, Not Graduate,Approved
222,yes,7900000,695, Graduate,Approved
223,yes,3900000,473, Not Graduate,Rejected
224,yes,4600000,491, Graduate,Rejected
225,yes,700000,733, Not Graduate,Approved
226,no,5200000,434, Not Graduate,Rejected
227,yes,5900000,777, Not Graduate,Approved
228,no,7200000,774, Graduate,Approved
229,yes,8700000,717, Not Graduate,Approved
230,yes,1100000,503, Not Graduate,Rejected
231,yes,4000000,598, Graduate,Approved
232,no,9800000,543, Graduate,Approved
233,yes,2700000,796, Not Graduate,Approved
234,yes,8800000,386, Not Graduate,Rejected
235,yes,3300000,632, Not Graduate,Approved
236,yes,6900000,481, Graduate,Approved
237,yes,900000,770, Graduate,Rejected
238,yes,4100000,667, Graduate,Approved
239,yes,4700000,585, Not Graduate,Approved
240,yes,3400000,479, Graduate,Rejected
241,no,9600000,851, Graduate,Approved
242,yes,7000000,378, Not Graduate,Rejected
243,no,5700000,807, Graduate,Approved
244,yes,8200000,831, Not Graduate,Approved
245,no,2100000,674, Not Graduate,Approved
246,yes,8000000,725, Not Graduate,Approved
247,no,8000000,600, Not Graduate,Approved
248,yes,9400000,536, Not Graduate,Rejected
249,no,8400000,477, Graduate,Rejected
250,yes,1900000,560, Not Graduate,Approved
251,yes,4200000,539, Not Graduate,Rejected
252,no,2600000,852, Graduate,Approved
253,no,3700000,853, Not Graduate,Approved
254,no,8800000,729, Graduate,Approved
255,no,2100000,546, Not Graduate,Rejected
256,yes,900000,489, Graduate,Rejected
257,yes,9800000,869, Graduate,Approved
258,no,8000000,502, Not Graduate,Rejected
259,no,9800000,652, Graduate,Approved
260,yes,300000,789, Not Graduate,Approved
261,no,2700000,325, Not Graduate,Approved
262,yes,7400000,716, Graduate,Approved
263,no,9200000,523, Graduate,Rejected
264,no,9500000,352, Not Graduate,Rejected
265,yes,3800000,345, Graduate,Approved
266,no,8300000,649, Graduate,Approved
267,yes,2800000,666, Graduate,Approved
268,no,8600000,813, Graduate,Approved
269,no,5400000,599, Not Graduate,Approved
270,yes,4200000,678, Graduate,Approved
271,no,5200000,513, Not Graduate,Rejected
272,no,9400000,870, Graduate,Approved
273,no,8800000,483, Graduate,Rejected
274,yes,5900000,308, Graduate,Rejected
275,yes,1700000,591, Graduate,Approved
276,no,7000000,886, Not Graduate,Approved
277,no,1700000,829, Not Graduate,Approved
278,no,1500000,651, Not Graduate,Approved
279,no,2000000,733, Not Graduate,Approved
280,yes,3900000,433, Graduate,Rejected
281,yes,900000,713, Graduate,Approved
282,no,6900000,403, Graduate,Rejected
283,yes,2800000,405, Graduate,Rejected
284,yes,6800000,516, Graduate,Rejected
285,yes,600000,417, Not Graduate,Rejected
286,no,4700000,468, Not Graduate,Rejected
287,yes,3000000,672, Graduate,Approved
288,no,4000000,530, Not Graduate,Rejected
289,yes,3100000,824, Not Graduate,Approved
290,yes,7700000,549, Not Graduate,Rejected
291,yes,4300000,450, Not Graduate,Rejected
292,yes,5800000,431, Graduate,Rejected
293,yes,3600000,312, Graduate,Rejected
294,yes,2900000,320, Not Graduate,Rejected
295,no,8800000,433, Graduate,Rejected
296,yes,300000,431, Not Graduate,Rejected
297,yes,8600000,516, Not Graduate,Rejected
298,yes,3500000,476, Not Graduate,Rejected
299,no,800000,560, Graduate,Approved
300,no,8000000,674, Graduate,Approved
301,yes,9900000,573, Not Graduate,Approved
302,no,3300000,331, Not Graduate,Rejected
303,yes,2000000,633, Graduate,Approved
304,no,4900000,877, Not Graduate,Approved
305,yes,9200000,656, Not Graduate,Approved
306,no,7500000,782, Not Graduate,Approved
307,no,9000000,531, Not Graduate,Approved
308,no,1400000,455, Not Graduate,Rejected
309,no,9600000,452, Graduate,Rejected
310,no,8400000,474, Graduate,Rejected
311,no,6400000,483, Not Graduate,Approved
312,no,5900000,481, Graduate,Rejected
313,yes,2200000,859, Graduate,Approved
314,yes,5600000,696, Graduate,Approved
315,no,9800000,778, Not Graduate,Approved
316,no,4400000,499, Graduate,Approved
317,yes,2400000,888, Not Graduate,Approved
318,no,4400000,674, Graduate,Approved
319,no,3700000,802, Graduate,Approved
320,yes,2300000,540, Not Graduate,Rejected
321,yes,5900000,726, Graduate,Approved
322,yes,6400000,485, Not Graduate,Approved
323,yes,4900000,612, Graduate,Approved
324,yes,9500000,879, Not Graduate,Approved
325,no,5700000,708, Not Graduate,Approved
326,yes,2700000,850, Not Graduate,Approved
327,yes,3900000,516, Not Graduate,Rejected
328,no,7800000,465, Not Graduate,Rejected
329,no,1100000,716, Graduate,Approved
330,no,200000,404, Not Graduate,Rejected
331,yes,4700000,512, Not Graduate,Rejected
332,yes,8200000,441, Not Graduate,Rejected
333,yes,4600000,555, Not Graduate,Approved
334,no,1800000,466, Not Graduate,Rejected
335,yes,3200000,427, Graduate,Rejected
336,yes,5500000,593, Not Graduate,Approved
337,no,7900000,731, Graduate,Approved
338,yes,4000000,451, Graduate,Rejected
339,yes,6800000,628, Not Graduate,Approved
340,no,2700000,704, Not Graduate,Approved
341,no,6800000,341, Not Graduate,Rejected
342,no,8600000,465, Graduate,Rejected
343,no,8000000,431, Graduate,Approved
344,yes,3700000,424, Graduate,Rejected
345,no,2600000,678, Graduate,Approved
346,no,4200000,381, Graduate,Rejected
347,yes,8000000,449, Graduate,Rejected
348,no,7100000,768, Not Graduate,Approved
349,no,2000000,666, Not Graduate,Rejected
350,yes,5800000,742, Not Graduate,Approved
351,yes,6700000,445, Not Graduate,Rejected
352,no,7300000,634, Graduate,Approved
353,no,3300000,782, Not Graduate,Approved
354,no,3000000,781, Graduate,Approved
355,no,7900000,318, Not Graduate,Rejected
356,no,7600000,721, Not Graduate,Approved
357,no,3700000,563, Not Graduate,Approved
358,no,8400000,419, Not Graduate,Approved
359,yes,8200000,372, Graduate,Rejected
360,no,2900000,885, Not Graduate,Approved
361,yes,9900000,596, Not Graduate,Approved
362,no,4400000,349, Graduate,Approved
363,yes,9000000,468, Not Graduate,Rejected
364,yes,6800000,818, Not Graduate,Approved
365,no,8700000,543, Not Graduate,Rejected
366,no,9400000,685, Graduate,Approved
367,yes,6000000,851, Not Graduate,Approved
368,yes,9400000,377, Not Graduate,Rejected
369,yes,1000000,620, Not Graduate,Approved
370,yes,900000,611, Graduate,Approved
371,no,2100000,767, Not Graduate,Approved
372,yes,1100000,592, Graduate,Approved
373,yes,600000,319, Graduate,Approved
374,yes,9200000,900, Not Graduate,Approved
375,yes,3600000,814, Not Graduate,Approved
376,yes,1300000,755, Not Graduate,Approved
377,yes,7700000,584, Graduate,Approved
378,yes,9500000,380, Graduate,Rejected
379,yes,5000000,465, Not Graduate,Rejected
