Applicant_ID,Govt_Employed, Income_annum, Cibil_Score, Education, Loan_Status
1, No,9600000,778, Graduate, Approved
2, Yes,4100000,417, Not Graduate, Rejected
3, No,9100000,506, Graduate, Rejected
4, No,8200000,467, Graduate, Rejected
5, Yes,9800000,382, Not Graduate, Rejected
6, Yes,4800000,319, Graduate, Rejected
7, No,8700000,678, Graduate, Approved
8, Yes,5700000,382, Graduate, Rejected
9, Yes,800000,782, Graduate, Approved
10, No,1100000,388, Not Graduate, Rejected
11, Yes,2900000,547, Graduate, Approved
12, Yes,6700000,538, Not Graduate, Rejected
13, Yes,5000000,311, Not Graduate, Rejected
14, Yes,9100000,679, Graduate, Approved
15, No,1900000,469, Not Graduate, Rejected
16, No,4700000,794, Not Graduate, Approved
17, Yes,500000,663, Graduate, Approved
18, Yes,2900000,780, Not Graduate, Approved
19, No,2700000,736, Graduate, Approved
20, No,6300000,652, Graduate, Approved
21, No,5000000,315, Graduate, Rejected
22, No,5800000,530, Graduate, Rejected
23, Yes,6500000,311, Graduate, Rejected
24, Yes,500000,551, Not Graduate, Approved
25, No,4900000,324, Not Graduate, Rejected
26, No,3100000,514, Not Graduate, Rejected
27, No,8200000,696, Graduate, Approved
28, Yes,2400000,662, Not Graduate, Approved
29, Yes,7000000,336, Not Graduate, Rejected
30, Yes,9000000,850, Not Graduate, Approved
31, No,9800000,313, Not Graduate, Rejected
32, No,5700000,363, Graduate, Rejected
33, Yes,800000,436, Not Graduate, Rejected
34, Yes,8400000,830, Not Graduate, Approved
35, No,4900000,612, Graduate, Approved
36, Yes,1700000,691, Graduate, Approved
37, No,1600000,636, Not Graduate, Approved
38, Yes,8000000,348, Graduate, Rejected
39, No,3600000,830, Graduate, Approved
40, Yes,1500000,352, Not Graduate, Rejected
41, No,7800000,712, Graduate, Approved
42, No,9100000,822, Not Graduate, Approved
43, No,1400000,540, Graduate, Rejected
44, Yes,800000,342, Graduate, Rejected
45, No,6500000,787, Graduate, Approved
46, No,8000000,331, Graduate, Rejected
47, Yes,4200000,679, Not Graduate, Approved
48, Yes,4900000,677, Graduate, Approved
49, No,5500000,634, Not Graduate, Approved
50, Yes,9500000,662, Not Graduate, Approved
51, No,7300000,502, Graduate, Rejected
52, No,8700000,435, Graduate, Rejected
53, No,3800000,689, Not Graduate, Approved
54, Yes,8400000,657, Not Graduate, Approved
55, Yes,5100000,590, Graduate, Approved
56, No,6700000,818, Not Graduate, Approved
57, No,4300000,431, Not Graduate, Rejected
58, Yes,9300000,841, Graduate, Approved
59, No,7400000,421, Graduate, Rejected
60, Yes,5500000,797, Not Graduate, Approved
61, No,8500000,478, Not Graduate, Rejected
62, Yes,9600000,669, Not Graduate, Approved
63, Yes,8800000,365, Not Graduate, Rejected
64, Yes,3300000,586, Not Graduate, Approved
65, Yes,3900000,784, Graduate, Approved
66, No,4100000,364, Graduate, Rejected
67, No,8300000,715, Not Graduate, Approved
68, Yes,2700000,693, Not Graduate, Rejected
69, No,5600000,777, Graduate, Approved
70, No,1900000,312, Graduate, Rejected
71, Yes,500000,340, Not Graduate, Rejected
72, Yes,5300000,386, Graduate, Approved
73, No,7000000,418, Not Graduate, Rejected
74, Yes,5800000,735, Not Graduate, Approved
75, No,2600000,494, Not Graduate, Rejected
76, No,1900000,671, Not Graduate, Approved
77, No,5700000,697, Graduate, Approved
78, No,9000000,801, Graduate, Approved
79, No,8500000,576, Not Graduate, Approved
80, No,700000,639, Not Graduate, Approved
81, No,3500000,470, Graduate, Rejected
82, No,8800000,826, Not Graduate, Approved
83, Yes,9900000,363, Not Graduate, Rejected
84, No,3600000,613, Graduate, Approved
85, Yes,3000000,713, Not Graduate, Approved
86, No,6800000,439, Graduate, Rejected
87, Yes,1100000,387, Not Graduate, Rejected
88, Yes,8700000,402, Not Graduate, Rejected
89, Yes,2000000,837, Graduate, Approved
90, No,9800000,641, Not Graduate, Approved
91, No,5700000,489, Graduate, Rejected
92, No,8800000,540, Graduate, Rejected
93, No,3800000,844, Graduate, Approved
94, No,1700000,452, Graduate, Rejected
95, No,1000000,366, Graduate, Rejected
96, No,300000,300, Graduate, Approved
97, Yes,6600000,470, Graduate, Rejected
98, No,8700000,861, Not Graduate, Approved
99, No,9400000,562, Graduate, Approved
100, No,4400000,463, Graduate, Rejected
101, No,400000,478, Not Graduate, Rejected
102, Yes,300000,702, Not Graduate, Approved
103, Yes,4300000,618, Not Graduate, Approved
104, No,1600000,633, Graduate, Approved
105, Yes,6200000,331, Not Graduate, Rejected
106, Yes,4200000,841, Not Graduate, Approved
107, Yes,9000000,764, Not Graduate, Approved
108, No,2700000,591, Graduate, Approved
109, Yes,9700000,719, Graduate, Approved
110, No,3300000,317, Graduate, Rejected
111, No,300000,778, Not Graduate, Approved
112, Yes,7400000,302, Graduate, Rejected
113, No,7100000,502, Not Graduate, Rejected
114, Yes,7300000,879, Not Graduate, Approved
115, No,8400000,437, Not Graduate, Rejected
116, Yes,3300000,797, Not Graduate, Approved
117, Yes,5800000,456, Not Graduate, Rejected
118, No,600000,647, Not Graduate, Approved
119, No,7200000,379, Not Graduate, Rejected
120, Yes,9100000,717, Not Graduate, Approved
121, No,900000,545, Graduate, Rejected
122, No,800000,317, Graduate, Rejected
123, No,8500000,570, Not Graduate, Approved
124, Yes,9000000,865, Not Graduate, Approved
125, No,7000000,719, Graduate, Approved
126, No,200000,821, Graduate, Approved
127, Yes,400000,859, Not Graduate, Approved
128, No,5100000,395, Not Graduate, Rejected
129, Yes,700000,429, Not Graduate, Rejected
130, No,400000,861, Graduate, Approved
131, Yes,9500000,565, Not Graduate, Approved
132, No,8800000,357, Graduate, Rejected
133, Yes,1800000,465, Not Graduate, Rejected
134, Yes,6800000,479, Not Graduate, Rejected
135, No,1500000,717, Not Graduate, Approved
136, No,1600000,425, Graduate, Rejected
137, No,4600000,786, Not Graduate, Approved
138, Yes,2200000,382, Not Graduate, Rejected
139, Yes,2900000,564, Not Graduate, Approved
140, No,200000,501, Graduate, Rejected
141, Yes,2500000,727, Not Graduate, Approved
142, No,3600000,894, Not Graduate, Approved
143, Yes,5500000,829, Graduate, Approved
144, No,6600000,506, Not Graduate, Rejected
145, Yes,8600000,802, Graduate, Approved
146, No,600000,543, Not Graduate, Rejected
147, Yes,1400000,772, Graduate, Approved
148, No,4000000,572, Graduate, Approved
149, Yes,4900000,709, Not Graduate, Approved
150, No,2000000,402, Graduate, Rejected
151, Yes,5200000,481, Not Graduate, Rejected
152, Yes,8900000,772, Graduate, Approved
153, Yes,6500000,306, Graduate, Approved
154, No,1300000,415, Not Graduate, Rejected
155, No,9400000,548, Not Graduate, Rejected
156, No,5000000,701, Not Graduate, Approved
157, No,3000000,890, Graduate, Approved
158, Yes,9900000,364, Not Graduate, Rejected
159, Yes,700000,704, Graduate, Approved
160, Yes,4000000,318, Graduate, Rejected
161, No,3100000,761, Not Graduate, Approved
162, No,4500000,693, Not Graduate, Approved
163, No,9700000,524, Not Graduate, Rejected
164, Yes,2000000,681, Not Graduate, Approved
165, Yes,8100000,737, Graduate, Approved
166, No,5700000,638, Not Graduate, Approved
167, No,5800000,656, Not Graduate, Approved
168, No,1800000,540, Graduate, Rejected
169, Yes,9100000,341, Not Graduate, Rejected
170, Yes,4800000,371, Not Graduate, Approved
171, Yes,3800000,886, Not Graduate, Approved
172, No,1900000,801, Not Graduate, Approved
173, Yes,3600000,748, Not Graduate, Approved
174, Yes,7400000,376, Not Graduate, Rejected
175, Yes,6600000,371, Not Graduate, Rejected
176, No,1800000,826, Graduate, Approved
177, No,9200000,873, Not Graduate, Approved
178, Yes,2400000,309, Not Graduate, Rejected
179, No,5600000,869, Not Graduate, Approved
180, No,3800000,534, Graduate, Rejected
181, Yes,4500000,787, Not Graduate, Approved
182, Yes,900000,566, Graduate, Approved
183, No,2800000,742, Not Graduate, Approved
184, No,7500000,824, Not Graduate, Approved
185, No,1400000,575, Graduate, Approved
186, Yes,3800000,766, Graduate, Approved
187, Yes,1700000,888, Not Graduate, Approved
188, Yes,9000000,638, Graduate, Approved
189, Yes,7300000,622, Not Graduate, Approved
190, No,7400000,458, Not Graduate, Rejected
191, No,9000000,327, Not Graduate, Rejected
192, No,3000000,612, Not Graduate, Approved
193, No,800000,682, Graduate, Approved
194, No,4800000,583, Graduate, Approved
195, No,6400000,697, Not Graduate, Approved
196, No,9200000,306, Graduate, Rejected
197, Yes,400000,669, Not Graduate, Approved
198, No,2800000,816, Not Graduate, Approved
199, Yes,8500000,455, Not Graduate, Rejected
200, Yes,4700000,318, Graduate, Rejected
201, Yes,9800000,355, Not Graduate, Rejected
202, Yes,3800000,389, Not Graduate, Rejected
203, No,500000,888, Graduate, Approved
204, Yes,6900000,352, Graduate, Rejected
205, Yes,9600000,870, Not Graduate, Approved
206, No,2900000,827, Not Graduate, Approved
207, No,9800000,768, Graduate, Approved
208, No,7100000,707, Graduate, Approved
209, Yes,7700000,355, Not Graduate, Rejected
210, No,1400000,652, Graduate, Approved
211, No,7800000,665, Graduate, Approved
212, Yes,1700000,420, Not Graduate, Rejected
213, No,8500000,471, Not Graduate, Rejected
214, No,1900000,715, Not Graduate, Approved
215, Yes,6700000,689, Not Graduate, Approved
216, Yes,6900000,787, Graduate, Approved
217, No,2600000,819, Graduate, Approved
218, Yes,9600000,809, Graduate, Approved
219, Yes,6800000,744, Not Graduate, Approved
220, No,3200000,484, Not Graduate, Rejected
221, No,2900000,673, Not Graduate, Approved
222, Yes,7900000,695, Graduate, Approved
223, Yes,3900000,473, Not Graduate, Rejected
224, Yes,4600000,491, Graduate, Rejected
225, Yes,700000,733, Not Graduate, Approved
226, No,5200000,434, Not Graduate, Rejected
227, Yes,5900000,777, Not Graduate, Approved
228, No,7200000,774, Graduate, Approved
229, Yes,8700000,717, Not Graduate, Approved
230, Yes,1100000,503, Not Graduate, Rejected
231, Yes,4000000,598, Graduate, Approved
232, No,9800000,543, Graduate, Approved
233, Yes,2700000,796, Not Graduate, Approved
234, Yes,8800000,386, Not Graduate, Rejected
235, Yes,3300000,632, Not Graduate, Approved
236, Yes,6900000,481, Graduate, Approved
237, Yes,900000,770, Graduate, Rejected
238, Yes,4100000,667, Graduate, Approved
239, Yes,4700000,585, Not Graduate, Approved
240, Yes,3400000,479, Graduate, Rejected
241, No,9600000,851, Graduate, Approved
242, Yes,7000000,378, Not Graduate, Rejected
243, No,5700000,807, Graduate, Approved
244, Yes,8200000,831, Not Graduate, Approved
245, No,2100000,674, Not Graduate, Approved
246, Yes,8000000,725, Not Graduate, Approved
247, No,8000000,600, Not Graduate, Approved
248, Yes,9400000,536, Not Graduate, Rejected
249, No,8400000,477, Graduate, Rejected
250, Yes,1900000,560, Not Graduate, Approved
251, Yes,4200000,539, Not Graduate, Rejected
252, No,2600000,852, Graduate, Approved
253, No,3700000,853, Not Graduate, Approved
254, No,8800000,729, Graduate, Approved
255, No,2100000,546, Not Graduate, Rejected
256, Yes,900000,489, Graduate, Rejected
257, Yes,9800000,869, Graduate, Approved
258, No,8000000,502, Not Graduate, Rejected
259, No,9800000,652, Graduate, Approved
260, Yes,300000,789, Not Graduate, Approved
261, No,2700000,325, Not Graduate, Approved
262, Yes,7400000,716, Graduate, Approved
263, No,9200000,523, Graduate, Rejected
264, No,9500000,352, Not Graduate, Rejected
265, Yes,3800000,345, Graduate, Approved
266, No,8300000,649, Graduate, Approved
267, Yes,2800000,666, Graduate, Approved
268, No,8600000,813, Graduate, Approved
269, No,5400000,599, Not Graduate, Approved
270, Yes,4200000,678, Graduate, Approved
271, No,5200000,513, Not Graduate, Rejected
272, No,9400000,870, Graduate, Approved
273, No,8800000,483, Graduate, Rejected
274, Yes,5900000,308, Graduate, Rejected
275, Yes,1700000,591, Graduate, Approved
276, No,7000000,886, Not Graduate, Approved
277, No,1700000,829, Not Graduate, Approved
278, No,1500000,651, Not Graduate, Approved
279, No,2000000,733, Not Graduate, Approved
280, Yes,3900000,433, Graduate, Rejected
281, Yes,900000,713, Graduate, Approved
282, No,6900000,403, Graduate, Rejected
283, Yes,2800000,405, Graduate, Rejected
284, Yes,6800000,516, Graduate, Rejected
285, Yes,600000,417, Not Graduate, Rejected
286, No,4700000,468, Not Graduate, Rejected
287, Yes,3000000,672, Graduate, Approved
288, No,4000000,530, Not Graduate, Rejected
289, Yes,3100000,824, Not Graduate, Approved
290, Yes,7700000,549, Not Graduate, Rejected
291, Yes,4300000,450, Not Graduate, Rejected
292, Yes,5800000,431, Graduate, Rejected
293, Yes,3600000,312, Graduate, Rejected
294, Yes,2900000,320, Not Graduate, Rejected
295, No,8800000,433, Graduate, Rejected
296, Yes,300000,431, Not Graduate, Rejected
297, Yes,8600000,516, Not Graduate, Rejected
298, Yes,3500000,476, Not Graduate, Rejected
299, No,800000,560, Graduate, Approved
300, No,8000000,674, Graduate, Approved
301, Yes,9900000,573, Not Graduate, Approved
302, No,3300000,331, Not Graduate, Rejected
303, Yes,2000000,633, Graduate, Approved
304, No,4900000,877, Not Graduate, Approved
305, Yes,9200000,656, Not Graduate, Approved
306, No,7500000,782, Not Graduate, Approved
307, No,9000000,531, Not Graduate, Approved
308, No,1400000,455, Not Graduate, Rejected
309, No,9600000,452, Graduate, Rejected
310, No,8400000,474, Graduate, Rejected
311, No,6400000,483, Not Graduate, Approved
312, No,5900000,481, Graduate, Rejected
313, Yes,2200000,859, Graduate, Approved
314, Yes,5600000,696, Graduate, Approved
315, No,9800000,778, Not Graduate, Approved
316, No,4400000,499, Graduate, Approved
317, Yes,2400000,888, Not Graduate, Approved
318, No,4400000,674, Graduate, Approved
319, No,3700000,802, Graduate, Approved
320, Yes,2300000,540, Not Graduate, Rejected
321, Yes,5900000,726, Graduate, Approved
322, Yes,6400000,485, Not Graduate, Approved
323, Yes,4900000,612, Graduate, Approved
324, Yes,9500000,879, Not Graduate, Approved
325, No,5700000,708, Not Graduate, Approved
326, Yes,2700000,850, Not Graduate, Approved
327, Yes,3900000,516, Not Graduate, Rejected
328, No,7800000,465, Not Graduate, Rejected
329, No,1100000,716, Graduate, Approved
330, No,200000,404, Not Graduate, Rejected
331, Yes,4700000,512, Not Graduate, Rejected
332, Yes,8200000,441, Not Graduate, Rejected
333, Yes,4600000,555, Not Graduate, Approved
334, No,1800000,466, Not Graduate, Rejected
335, Yes,3200000,427, Graduate, Rejected
336, Yes,5500000,593, Not Graduate, Approved
337, No,7900000,731, Graduate, Approved
338, Yes,4000000,451, Graduate, Rejected
339, Yes,6800000,628, Not Graduate, Approved
340, No,2700000,704, Not Graduate, Approved
341, No,6800000,341, Not Graduate, Rejected
342, No,8600000,465, Graduate, Rejected
343, No,8000000,431, Graduate, Approved
344, Yes,3700000,424, Graduate, Rejected
345, No,2600000,678, Graduate, Approved
346, No,4200000,381, Graduate, Rejected
347, Yes,8000000,449, Graduate, Rejected
348, No,7100000,768, Not Graduate, Approved
349, No,2000000,666, Not Graduate, Rejected
350, Yes,5800000,742, Not Graduate, Approved
351, Yes,6700000,445, Not Graduate, Rejected
352, No,7300000,634, Graduate, Approved
353, No,3300000,782, Not Graduate, Approved
354, No,3000000,781, Graduate, Approved
355, No,7900000,318, Not Graduate, Rejected
356, No,7600000,721, Not Graduate, Approved
357, No,3700000,563, Not Graduate, Approved
358, No,8400000,419, Not Graduate, Approved
359, Yes,8200000,372, Graduate, Rejected
360, No,2900000,885, Not Graduate, Approved
361, Yes,9900000,596, Not Graduate, Approved
362, No,4400000,349, Graduate, Approved
363, Yes,9000000,468, Not Graduate, Rejected
364, Yes,6800000,818, Not Graduate, Approved
365, No,8700000,543, Not Graduate, Rejected
366, No,9400000,685, Graduate, Approved
367, Yes,6000000,851, Not Graduate, Approved
368, Yes,9400000,377, Not Graduate, Rejected
369, Yes,1000000,620, Not Graduate, Approved
370, Yes,900000,611, Graduate, Approved
